Number_of_nodes,Average_throughput_udp,Average_delay
1,268.384,3726.01,
Number_of_nodes,Average_throughput_udp,Average_delay
2,0.999601,2407.88,
Number_of_nodes,Average_throughput_udp,Average_delay
3,0.499779,2804.03,
Number_of_nodes,Average_throughput_udp,Average_delay
4,0.333227,1933.29,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.249934,2868.11,
Number_of_nodes,Average_throughput_udp,Average_delay
6,0.199967,2226.71,
Number_of_nodes,Average_throughput_udp,Average_delay
7,0.166632,2082.37,
Number_of_nodes,Average_throughput_udp,Average_delay
8,0.142832,1967.7,
Number_of_nodes,Average_throughput_udp,Average_delay
9,0.126957,2089.73,
Number_of_nodes,Average_throughput_udp,Average_delay
10,0.114262,2308.33,
Number_of_nodes,Average_throughput_udp,Average_delay
11,0.103872,2516.89,
Number_of_nodes,Average_throughput_udp,Average_delay
12,0.0952141,2721.31,
Number_of_nodes,Average_throughput_udp,Average_delay
13,0.0878848,2937.48,
Number_of_nodes,Average_throughput_udp,Average_delay
14,0.081611,2876.73,
Number_of_nodes,Average_throughput_udp,Average_delay
15,0.076164,3448.45,
Number_of_nodes,Average_throughput_udp,Average_delay
16,0.0713981,4010.17,
Number_of_nodes,Average_throughput_udp,Average_delay
17,0.0672059,3482.79,
Number_of_nodes,Average_throughput_udp,Average_delay
18,0.0634684,3757.33,
Number_of_nodes,Average_throughput_udp,Average_delay
19,0.0601285,4128.32,
Number_of_nodes,Average_throughput_udp,Average_delay
20,0.0571164,4106.79,
Number_of_nodes,Average_throughput_udp,Average_delay
21,0.0543958,5062.34,
Number_of_nodes,Average_throughput_udp,Average_delay
22,0.0519179,4662.25,
Number_of_nodes,Average_throughput_udp,Average_delay
23,0.0496687,4584.3,
Number_of_nodes,Average_throughput_udp,Average_delay
24,0.0476002,4947.83,
Number_of_nodes,Average_throughput_udp,Average_delay
25,0.0438621,4.16672e+08,
Number_of_nodes,Average_throughput_udp,Average_delay
26,0.0415251,4.00007e+08,
Number_of_nodes,Average_throughput_udp,Average_delay
27,0.0380496,8.0009e+08,
Number_of_nodes,Average_throughput_udp,Average_delay
28,0.0358985,7.69238e+08,
Number_of_nodes,Average_throughput_udp,Average_delay
29,0.0325963,2.08334e+09,
Number_of_nodes,Average_throughput_udp,Average_delay
30,0.0304528,2.50001e+09,
